CCCCC(=O)OCC(COP(O)(=O)OCCNC1=CC=C(C2=NON=C12)[N+]([O-])=O)OC(=O)CCCCC,substrate
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)C(O)=O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,substrate
CCCCCC=C/CC=C/C=C/C=C/[C@@H](SC[C@H](N)C(=O)NCC(O)=O)[C@@H](O)CCCC(O)=O,substrate
CCCCCC=C/CC=C/C=C/C=C/[C@@H](SC[C@H](NC(C)=O)C(O)=O)[C@@H](O)CCCC(O)=O,substrate
COC(C)(C)C[N+]#C[Tc+6](C#[N+]CC(C)(C)OC)(C#[N+]CC(C)(C)OC)(C#[N+]CC(C)(C)OC)(C#[N+]CC(C)(C)OC)C#[N+]CC(C)(C)OC,substrate
N[C@@H](CCC(=O)N[C@@H](CSCCN(CCSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C1=CC=C(CCCC(O)=O)C=C1)C(=O)NCC(O)=O)C(O)=O,substrate
NC(CCC(=O)NC(CSCCN(CCO)C1=CC=C(CCCC(O)=O)C=C1)C(=O)NCC(O)=O)C(O)=O,substrate
CCCCCC1OC(O)C[C@@H]1SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,substrate
COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C2[C@@H]3[C@H](O)[C@H](O[C@@H]3OC2=C1)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,substrate
CCCCC[C@H](O)C=C[C@H]1C(CC(=O)[C@H]1CC=C/CCCC(O)=O)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,substrate
CCCCCC=C/CC(SCC(NC(=O)CCC(C)C(O)=O)C(=O)NCC(O)=O)C(CCCCCCCC(O)=O)[N+]([O-])=O,substrate
N[C@@H](CCC(=O)N[C@@H](CSCCN(CCCl)C1=CC=C(C[C@H](N)C(O)=O)C=C1)C(=O)NCC(O)=O)C(O)=O,substrate
COC1=C(O)C=C(C=C1O)C(=O)O[C@@H]1CC2=C(O[C@@H]1C1=CC(O)=C(O)C(O)=C1)C=C(O)C=C2O,substrate
